tau,deg,rep,n_test,LAP,W,eta,seconds
2,4,9,2000,0.0098907165301053,0.13117922937517745,0.07539849545706268,18.83
2,4,6,2000,0.009672590750417459,0.13028523208817336,0.0742416511479315,18.99
2,4,7,2000,0.009847561796200763,0.1306938428395599,0.07534832232525028,19.09
2,4,8,2000,0.010236384779560417,0.13137569860316642,0.0779168818007998,19.09
2,4,10,2000,0.009744365446651027,0.12961147277466467,0.07518134959851927,19.35
2,4,11,2000,0.01011018347216823,0.13204059157484196,0.0765687532264476,19.29
2,4,13,2000,0.009527585025943697,0.13028519141045777,0.0731286873266161,19.24
2,4,12,2000,0.009835415811564746,0.13019754316908852,0.07554225350313576,19.69
2,4,14,2000,0.01004277693608338,0.13265343689535358,0.07570687327163513,19.41
2,4,16,2000,0.009629477223115801,0.13029451231974895,0.07390547039682381,19.5
2,4,15,2000,0.01009414455167186,0.13073324116535454,0.07721176696678501,19.73
2,4,17,2000,0.009485483642572873,0.12984338394978154,0.07305326890002725,19.32
2,4,18,2000,0.01047266983090557,0.13122630996670057,0.07980617479500163,19.38
2,4,19,2000,0.010014915415069284,0.13059114839887792,0.07668908297275787,19.59
2,4,20,2000,0.010164117959922864,0.13063151920805355,0.07780754615380939,19.44
2,4,21,2000,0.009524289921265638,0.13014401849010931,0.07318269430868592,19.6
2,4,22,2000,0.009730475777705125,0.12872156086412156,0.07559320841344219,19.88
2,4,23,2000,0.009806231351854405,0.13072143209715503,0.07501624786795634,19.11
2,4,26,2000,0.009867930886183693,0.12994377280312538,0.07594000599885885,19.15
2,4,25,2000,0.009632403835091313,0.13077779202794712,0.07365473667756124,19.18
2,4,24,2000,0.010125679549197256,0.13156487343753565,0.07696339672309817,19.46
2,4,29,2000,0.009736179804765363,0.1297536834400395,0.07503586446749737,19.37
2,4,27,2000,0.009869024587229713,0.13065557604860673,0.07553466056097155,19.45
2,4,28,2000,0.009627593261292186,0.1300615787442901,0.07402334612761151,19.46
2,4,30,2000,0.00998634056311097,0.13061465116199172,0.07645651138114398,19.34
2,4,31,2000,0.009898212195642131,0.13026466632861106,0.07598539553828426,19.61
2,4,32,2000,0.00988217198987669,0.13046512870644886,0.07574569609410285,19.65
2,4,33,2000,0.009583494462197403,0.129749129239563,0.07386172468643598,19.67
2,4,34,2000,0.009964367477810265,0.13107506628372215,0.07602031233187874,19.82
2,4,35,2000,0.009832091847331734,0.1299935729857346,0.07563521504567537,19.56
2,4,37,2000,0.009816460607404168,0.1300773712321509,0.07546632065530132,19.49
2,4,36,2000,0.009644583082596123,0.13043086028592257,0.07394402721452466,19.79
2,4,38,2000,0.009514110517760854,0.1291153385346035,0.07368691145251523,19.52
2,4,39,2000,0.010158584091214756,0.13036364560278677,0.07792497704588278,19.53
2,4,41,2000,0.009731984546168679,0.1302951709579279,0.07469182836646433,19.04
2,4,42,2000,0.009713699433991752,0.12984413004234996,0.07481046259714268,19.14
2,4,43,2000,0.009847236821670186,0.1305106259993293,0.0754516097541421,19.27
2,4,40,2000,0.010475861703591952,0.1322182503289064,0.07923158624117453,19.27
2,4,44,2000,0.009881515808583374,0.13060674567547653,0.07565854089295163,19.15
